InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,  TotalSum,InvoiceMonth
156909,550183,GREEN REGENCY TEACUP AND SAUCER,6,4/14/2011,2.95,14105,United Kingdom,17.7,2011-04
166902,550957,PACK OF 60 SPACEBOY CAKE CASES,3,4/21/2011,0.55,18283,United Kingdom,1.65,2011-04
261718,559884,PENS ASSORTED FUNKY JEWELED,72,7/13/2011,0.19,16843,United Kingdom,13.68,2011-07
331922,566043,GREY HEART HOT WATER BOTTLE,4,9/8/2011,4.25,13769,United Kingdom,17,2011-09
501109,578818,SNACK TRAY I LOVE LONDON,2,11/25/2011,1.95,17920,United Kingdom,3.9,2011-11
157132,550193,PHOTO FRAME 3 CLASSIC HANGING,4,4/15/2011,9.95,13952,United Kingdom,39.8,2011-04
104294,545162,FOUR HOOK  WHITE LOVEBIRDS,6,2/28/2011,2.1,16187,United Kingdom,12.6,2011-02
195544,553721,AGNETS PACK OF 4 VINTAGE COLLAGE,12,5/18/2011,1.25,16570,United Kingdom,15,2011-05
333304,566193,NI CAKE STAND  HANGING STRAWBERY,8,9/9/2011,1.65,14961,United Kingdom,13.2,2011-09
238893,557958,ARDENERS KNEELING PAD KEEP CALM,2,6/23/2011,1.65,16161,United Kingdom,3.3,2011-06
21706,538113,PINK HORSE SOCK PUPPET,6,12/9/2010,2.95,15811,United Kingdom,17.7,2010-12
146503,548991,VINTAGE RED MUG,1,4/5/2011,1.25,16915,United Kingdom,1.25,2011-04
99103,544697,PINK STRING CURTAIN WITH POLE,2,2/23/2011,5.95,13453,United Kingdom,11.9,2011-02
163719,550622,CARD BIRTHDAY COWBOY,12,4/19/2011,0.42,13735,United Kingdom,5.04,2011-04
381606,569868,3 STRIPEY MICE FELTCRAFT,6,10/6/2011,1.95,13018,United Kingdom,11.7,2011-10
31688,539007,ET OF 3 CAKE TINS PANTRY DESIGN,1,12/15/2010,4.95,17894,United Kingdom,4.95,2010-12
468255,576405,BISCUIT TIN 50'S CHRISTMAS,8,11/15/2011,2.89,13735,United Kingdom,23.12,2011-11
390376,570514,PAPER BUNTING RETROSPOT,12,10/11/2011,2.95,13089,United Kingdom,35.4,2011-10
70850,542103,CHILLI LIGHTS,4,1/25/2011,4.95,13198,United Kingdom,19.8,2011-01
158659,550305,GENTLEMAN SHIRT REPAIR KIT,12,4/17/2011,0.85,17920,United Kingdom,10.2,2011-04
8213,537130,PLEASE ONE PERSON METAL SIGN,1,12/5/2010,2.1,17796,United Kingdom,2.1,2010-12
532738,580996,FAWN BLUE HOT WATER BOTTLE,2,12/6/2011,3.75,14578,United Kingdom,7.5,2011-12
126250,547069,PACK OF 20 NAPKINS PANTRY DESIGN,1,3/20/2011,0.85,16710,United Kingdom,0.85,2011-03
448575,575063,INK HANGING HEART T-LIGHT HOLDER,1,11/8/2011,2.95,16764,United Kingdom,2.95,2011-11
19970,537963,RED HANGING HEART T-LIGHT HOLDER,12,12/9/2010,2.95,13369,United Kingdom,35.4,2010-12
264154,560089,ET OF 4 KNICK KNACK TINS LONDON,1,7/14/2011,4.15,12748,United Kingdom,4.15,2011-07
199822,554103,ITE HANGING HEART T-LIGHT HOLDER,2,5/22/2011,2.95,15555,United Kingdom,5.9,2011-05
312243,564342,APER CHAIN KIT VINTAGE CHRISTMAS,2,8/24/2011,2.95,16340,United Kingdom,5.9,2011-08
